iter	Passed	Remaining
0	3450	3446860
1	6689	3337821
2	10185	338512333	13421	334203744	16872	335753455	20286	336082466	23360	331379377	26076	323344088	28689	31590339	31754	3143731
10	34778	3126858
111	38156	3141511112	41562	315554613	44740	3151005
14	47890	3144816
15	50787	3123412
116	53569	309755717	56440	3079120
118	59347	3064217119	62585	306669620	66821	3115158
221	68626	305077022	73027	3102068
23	76145	3096566
24	79583	3103759
25	82800	3101818
26	85926	3096529
27	87985	3054345
28	91444	3061813
29	94468	3054482
30	97102	3035231
31	99820	3019575
332	103117	3021654333	106011	3011985334	108998	3005245335	112030	2999934336	115070	2994936337	118036	2988178338	121079	2983521339	124460	2987045440	127719	2987391441	131157	2991644442	134400	2991185443	137010	2976855444	139702	2964794445	142505	2955434446	145844	2957231447	148501	2945274448	151577	2941844449	154627	2937935550	157543	2931545551	160067	2918145552	163324	2918265553	166622	2918985554	169480	2911985555	172763	2912305556	175903	291012557	180276	29279335558	182152	2905175959	185402	2904646060	188525	2902066161	191898	2903236262	195367	2905706363	198656	29053464	202432	2911919
65	205699	2910957
66	209067	2911342
6767	211447	2898076868	215042	2901516969	218296	2900227070	221648	2900167171	225083	29010772	228928	2907076
73	232509	2909505
74	235726	2907295
75	239142	2907468
76	242141	2902557
77	245418	2900970
78	248441	2896388
79	251677	2894294
80	254819	2891098
81	257700	2884993
82	260979	2883352
83	264354	2882720
84	267735	2882091
85	271142	2881682
86	274123	2876716
87	276755	2868198
88	279931	2865364
89	283003	2861480
90	286052	2857376
91	289016	2852462
92	292344	2851141
93	295111	2844373
94	298273	2841444
95	301626	2840315
96	304854	2837979
97	307982	2834694
98	311220	2832423
99	313950	2825553
100	317498	2826052
101	320704	2823458
102	324043	2822007
103	327230	2819215
104	330849	2820099
105	334028	2817185
106	337391	2815796
107	340501	2812286
108	343779	2810157
109	347091	2808288
110	350329	2805793
111	353822	2805309
112	357455	2805867
113	360814	2804222
114	364152	2802387
115	367304	2799114
116	370242	2794225
117	373576	2792328
118	376943	2790645
119	380439	2789889
120	383673	2787181
121	387093	2785801
122	390446	2783912
123	393726	2781488
124	397292	2781047
125	400849	2780495
126	404044	2777404
