iter	Passed	Remaining
0	227	227223
1	272	136205
2	303	100906
3	337	84131
4	373	74313
5	406	67381
6	437	62063
7	469	58191
8	501	55215
9	531	52621
10	562	50583
11	593	48866
12	623	47367
13	659	46428
14	693	45550
15	726	44664
16	758	43831
17	791	43189
18	824	42565
19	854	41882
20	887	41358
21	917	40807
22	947	40243
23	975	39678
24	1005	39220
25	1035	38794
26	1064	38349
27	1093	37949
28	1122	37572
29	1152	37276
30	1184	37036
31	1215	36782
32	1244	36477
33	1276	36281
34	1304	35977
35	1334	35746
36	1366	35558
37	1396	35364
38	1427	35168
39	1458	34996
40	1485	34756
41	1514	34537
42	1545	34393
43	1575	34223
44	1605	34071
45	1675	34745
46	1708	34643
47	1738	34473
48	1764	34252
49	1794	34100
50	1828	34031
51	1857	33866
52	1886	33715
53	1917	33590
54	1947	33457
55	1984	33457
56	2023	33473
57	2054	33375
58	2087	33294
59	2116	33160
60	2145	33019
61	2174	32895
62	2203	32770
63	2232	32653
64	2261	32536
65	2290	32420
66	2321	32328
67	2349	32196
68	2378	32092
69	2410	32029
70	2441	31947
71	2474	31896
72	2504	31801
73	2537	31748
74	2566	31652
75	2594	31542
76	2624	31464
77	2654	31371
78	2682	31267
79	2711	31177
80	2739	31084
81	2770	31010
82	2799	30931
83	2828	30847
84	2858	30772
85	2891	30730
86	2920	30651
87	2949	30566
88	2978	30491
89	3010	30441
90	3040	30372
91	3069	30297
92	3099	30226
93	3127	30144
94	3157	30077
95	3208	30217
96	3245	30214
97	3276	30157
98	3307	30101
99	3337	30035
100	3366	29967
101	3397	29910
102	3425	29827
103	3455	29771
104	3486	29718
105	3517	29666
106	3544	29577
107	3573	29511
108	3601	29438
109	3630	29376
110	3660	29314
111	3686	29231
112	3717	29179
113	3746	29118
114	3775	29052
115	3807	29018
116	3835	28949
117	3865	28890
118	3895	28841
119	3928	28806
120	3962	28782
121	3992	28735
122	4023	28690
123	4054	28642
124	4081	28567
125	4108	28501
126	4138	28447
127	4170	28414
128	4204	28387
129	4233	28334
130	4262	28277
131	4293	28230
132	4321	28171
133	4351	28120
134	4387	28110
135	4423	28104
136	4457	28081
137	4487	28032
138	4527	28042
139	4558	28003
140	4588	27955
141	4616	27896
142	4649	27861
143	4746	28213
144	4791	28255
145	4825	28222
