iter	RMSE
0	207665.4743
1	200862.9635
2	194439.7206
3	188356.4359
4	182107.0484
5	176651.1482
6	171626.2766
7	167179.8427
8	162243.1857
9	157690.4762
10	153323.5169
11	149121.4583
12	145604.0246
13	142148.0171
14	139292.4793
15	136264.3083
16	133116.4668
17	130341.7113
18	127893.131
19	125492.6557
20	123347.7549
21	121747.5143
22	119860.1416
23	118204.3721
24	116549.217
25	115001.2962
26	113109.3178
27	111258.7695
28	109652.6862
29	108048.018
30	106901.3624
31	105678.0029
32	104609.5121
33	103522.8663
34	102119.7528
35	100801.1063
36	99726.55199
37	98642.61289
38	97715.24597
39	97111.58142
40	96332.87558
41	95503.02377
42	94687.40526
43	93758.63853
44	93217.54382
45	92359.95778
46	91650.62438
47	90988.84121
48	90339.43616
49	89679.53712
50	89011.79315
51	88471.29188
52	87793.21853
53	87436.43609
54	86772.38137
55	86272.62044
56	85736.07134
57	85262.91273
58	84623.53248
59	84284.20492
60	83756.2913
61	83232.86927
62	82853.11233
63	82205.11677
64	81771.05411
65	81354.45288
66	81150.18645
67	80621.63323
68	80240.18132
69	79806.40492
70	79406.45677
71	78970.48765
72	78650.80583
73	78393.64168
74	78056.77719
75	77670.29827
76	77402.21059
77	77197.96026
78	76858.78381
79	76500.31305
80	76248.12884
81	75939.55424
82	75662.38596
83	75389.46777
84	75222.32592
85	74775.94445
86	74473.46682
87	74160.64695
88	73961.76
89	73609.44495
90	73265.63697
91	72971.45595
92	72714.1712
93	72444.09429
94	72128.29019
95	71856.55288
96	71619.68506
97	71284.16027
98	71102.55521
99	70942.58302
100	70670.02573
101	70451.50744
102	70306.66327
103	70081.18815
104	69853.95024
105	69649.05978
106	69354.85352
107	69151.49556
108	68949.02588
109	68707.75857
110	68469.27965
111	68350.74648
112	68171.28858
113	67971.30503
114	67725.21116
115	67530.05905
116	67362.50409
117	67164.78902
118	66910.23064
119	66748.08794
120	66558.51434
121	66408.94653
122	66266.61262
123	66071.95922
124	65774.55634
125	65540.18832
126	65306.28287
127	64996.07323
128	64868.1369
129	64691.15496
130	64440.80265
131	64228.53093
132	63917.72508
133	63601.32676
134	63409.8814
135	63176.84306
136	62941.36579
137	62832.48684
138	62677.23486
139	62386.81235
140	62255.66824
141	62096.31625
142	61915.50062
143	61745.04003
144	61576.79507
145	61473.98541
146	61299.77922
147	61178.19824
148	61022.99501
149	60752.44304
150	60613.66243
151	60430.63529
152	60301.96891
153	60152.3993
154	59998.9398
155	59755.70559
156	59626.13744
157	59455.48849
158	59346.2033
159	58885.12509
160	58771.15983
161	58644.86033
162	58501.50208
163	58225.12913
164	58001.11859
165	57778.01401
166	57562.18114
167	57417.2225
168	57156.68239
169	57051.7161
170	56956.20943
171	56751.20895
172	56521.94527
173	56372.25478
174	56145.84014
175	55759.90524
176	55662.85409
177	55454.64728
178	55358.86103
179	55138.09989
180	54871.28589
181	54669.32806
182	54342.76675
183	54149.16558
184	53951.41054
185	53821.18048
186	53694.87363
187	53458.98583
188	53324.66802
189	53182.2301
190	53051.45001
191	52942.03599
192	52793.8341
193	52670.20166
194	52619.17668
195	52392.70471
196	52309.16631
197	52195.88693
198	52031.33761
199	51883.86569
200	51750.93648
201	51586.39735
202	51525.95228
203	51460.77446
204	51307.66376
205	51214.83677
206	51100.66571
207	50939.19051
208	50771.23202
209	50680.39748
210	50487.71968
211	50413.73914
212	50302.81301
213	50233.73637
214	50191.69835
215	50020.27228
216	49878.50701
217	49772.86833
218	49689.46354
219	49597.70597
220	49502.57491
221	49391.05861
222	49061.50754
223	48957.37798
224	48849.07487
225	48482.49176
226	48283.5637
227	48179.97622
228	48022.20978
229	47898.70873
230	47693.90343
231	47592.46876
232	47501.19484
233	47316.78823
234	47215.51802
235	47099.19977
236	46984.55645
237	46938.80154
238	46856.80191
239	46756.14354
240	46664.05705
241	46531.43071
242	46412.53506
243	46248.48399
244	45986.30975
245	45848.91575
246	45712.91911
247	45618.64151
248	45539.42075
249	45454.81166
250	45307.68904
251	45216.65757
252	45128.83869
253	45019.80883
254	44968.34298
255	44885.30216
256	44820.09651
257	44774.44048
258	44574.36585
259	44458.02402
260	44230.14766
261	44132.87004
262	44064.99996
263	44013.72226
264	43932.93235
265	43796.10312
266	43721.21567
267	43596.57761
268	43525.63583
269	43418.19117
270	43383.9721
271	43283.96624
272	43252.9474
273	43158.63753
274	43077.25559
275	42983.51526
276	42864.32971
277	42756.84669
278	42705.60642
279	42609.17168
280	42531.713
281	42454.11603
282	42357.27194
283	42321.72325
284	42239.60193
285	42198.08565
286	42181.62852
287	42119.98143
288	42000.94438
289	41920.38686
290	41777.09832
291	41729.55651
292	41502.73297
293	41316.17552
294	41100.61858
295	41007.83346
296	40947.06244
297	40831.96595
298	40776.21916
299	40706.78599
300	40613.64945
301	40509.39162
302	40369.31771
303	40293.8263
304	40200.8501
305	40153.13709
306	40075.55016
307	40013.63944
308	39906.96161
309	39786.12744
310	39736.17324
311	39590.73818
312	39542.35506
313	39522.71383
314	39448.76766
315	39369.73842
316	39342.78171
317	39268.18116
318	39244.52819
319	39148.58466
320	39098.09201
321	39039.51034
322	38993.27547
323	38934.83465
324	38813.93882
325	38786.51429
326	38721.63031
327	38625.79756
328	38593.04065
329	38447.07048
330	38340.37636
331	38288.66548
332	38227.81523
333	38106.05095
334	38070.6408
335	38011.70393
336	37947.49514
337	37873.0981
338	37823.54015
339	37739.84272
340	37692.9247
341	37647.22014
342	37526.96158
343	37486.68138
344	37451.4726
345	37401.28678
346	37304.63667
347	37274.87288
348	37227.10801
349	37145.6827
350	37084.97035
351	37053.02995
352	37017.0807
353	36957.13743
354	36832.01716
355	36772.92529
356	36693.67856
357	36627.45226
358	36531.6058
359	36452.4004
360	36394.83747
361	36327.88386
362	36265.22484
363	36238.75528
364	36211.30065
365	36129.33102
366	36002.31286
367	35937.2398
368	35919.1779
369	35899.28771
370	35813.20506
371	35768.5706
372	35662.37041
373	35587.19098
374	35558.18838
375	35496.80736
376	35441.79419
377	35389.94109
378	35356.62829
379	35319.77032
380	35281.38516
381	35150.20359
382	35105.42434
383	35077.78803
384	35064.35944
385	34998.02411
386	34961.04217
387	34939.86559
