iter	Passed	Remaining
0	4	4803
1	9	4956
2	15	5146
3	19	4835
4	26	5217
5	32	5428
6	38	5403
7	42	5312
8	47	5237
9	51	5096
10	55	4981
11	59	4926
12	64	4874
13	68	4832
14	72	4786
15	77	4754
16	82	4742
17	86	4699
18	90	4674
19	97	4757
20	102	4770
21	107	4763
22	111	4731
23	115	4695
24	119	4651
25	123	4609
26	127	4582
27	131	4560
28	135	4529
29	140	4532
30	144	4527
31	148	4502
32	154	4522
33	158	4505
34	162	4481
35	166	4452
36	169	4421
37	173	4386
38	176	4358
39	180	4339
40	184	4317
41	187	4282
42	191	4252
43	195	4237
44	199	4223
45	202	4207
46	206	4187
47	210	4181
48	215	4182
49	220	4183
50	223	4166
51	227	4149
52	231	4133
53	234	4114
54	238	4094
55	241	4066
56	244	4043
57	247	4021
58	252	4022
59	256	4014
60	260	4006
61	263	3991
62	267	3984
63	271	3974
64	274	3952
65	277	3929
66	281	3916
67	285	3908
68	289	3900
69	292	3884
70	296	3880
71	300	3876
72	304	3863
73	307	3844
74	310	3832
75	314	3819
76	317	3808
77	321	3794
78	324	3785
79	328	3780
80	331	3764
81	335	3750
82	338	3743
83	342	3732
84	345	3718
85	348	3707
86	352	3694
87	355	3683
88	358	3670
89	362	3666
90	366	3664
91	370	3659
92	375	3660
93	379	3659
94	386	3683
95	394	3719
96	400	3729
97	405	3734
98	411	3742
99	413	3720
100	420	3741
101	424	3741
102	429	3737
103	436	3760
104	440	3753
105	444	3751
106	449	3754
107	455	3761
108	460	3766
109	468	3792
110	473	3788
111	485	3845
112	491	3858
113	513	3994
114	539	4150
115	547	4175
116	554	4183
117	561	4194
118	567	4202
119	573	4204
120	579	4212
121	585	4210
122	591	4216
123	597	4223
124	603	4223
125	624	4333
126	634	4363
127	641	4370
128	648	4376
129	654	4377
130	659	4373
131	665	4376
132	673	4393
133	680	4396
134	698	4476
135	708	4501
136	715	4507
137	721	4506
138	726	4502
139	730	4489
140	739	4503
141	744	4498
142	748	4486
143	755	4488
144	759	4475
145	764	4473
146	771	4474
147	775	4463
148	780	4459
149	786	4456
150	790	4444
151	796	4442
152	802	4445
153	811	4456
154	818	4463
155	823	4457
156	828	4449
157	833	4441
158	837	4431
159	841	4418
160	849	4424
161	856	4431
162	863	4436
163	869	4431
164	877	4439
165	884	4445
166	893	4458
167	898	4450
168	902	4439
169	907	4430
170	911	4419
171	915	4407
172	919	4394
173	924	4388
174	966	4555
175	977	4575
176	988	4594
177	1029	4752
178	1035	4751
179	1052	4793
180	1076	4870
181	1080	4856
182	1085	4844
183	1090	4834
184	1096	4828
185	1100	4815
186	1106	4809
187	1110	4796
188	1115	4785
189	1124	4792
190	1130	4787
191	1141	4802
192	1150	4810
193	1156	4805
194	1162	4798
195	1169	4796
196	1174	4785
197	1178	4773
198	1185	4769
199	1189	4758
200	1193	4745
201	1203	4755
202	1209	4748
203	1215	4743
204	1220	4732
205	1224	4719
206	1229	4710
207	1233	4697
208	1237	4684
209	1241	4671
210	1248	4670
211	1255	4666
212	1263	4669
213	1267	4657
214	1272	4646
215	1281	4650
216	1287	4645
217	1294	4644
218	1300	4637
219	1305	4628
220	1310	4619
221	1314	4605
222	1318	4592
223	1321	4578
224	1326	4569
225	1330	4556
226	1334	4542
227	1339	4534
228	1343	4521
229	1347	4509
230	1351	4498
231	1356	4492
232	1360	4478
